id	question	answer	published	user_id
78	가장 빠른 비행기는 무엇인가요?	가장 빠른 비행기는 락히드 SR-71 블랙버드입니다.	Y	user78
79	가장 작은 나라 중 하나는 무엇인가요?	가장 작은 나라 중 하나는 바티칸 시국입니다.	Y	user79
80	가장 큰 대양은 무엇인가요?	가장 큰 대양은 태평양입니다.	Y	user80
81	해리포터의 부모님 이름은 무엇인가요?	해리포터의 부모님 이름은 제임스 포터와 릴리 포터입니다.	Y	user81
82	호그와트의 네 개의 기숙사 이름은 무엇인가요?	호그와트의 기숙사는 그리핀도르, 슬리데린, 후플푸프, 레번클로입니다.	Y	user82
83	해리포터의 마법 지팡이는 무엇으로 만들어졌나요?	해리포터의 마법 지팡이는 호랑가시나무와 불사조 깃털로 만들어졌습니다.	Y	user83
84	볼드모트의 진짜 이름은 무엇인가요?	볼드모트의 진짜 이름은 톰 마볼로 리들입니다.	Y	user84
85	해리포터 시리즈에서 마법 세계의 은행 이름은 무엇인가요?	마법 세계의 은행은 그린고트입니다.	Y	user85
86	호그와트의 교장 이름은 무엇인가요?	호그와트의 교장은 알버스 덤블도어입니다.	Y	user86
87	호그와트로 가는 기차역의 플랫폼 번호는 무엇인가요?	호그와트로 가는 기차는 9와 3/4 플랫폼에서 출발합니다.	Y	user87
88	해리포터가 첫 퀴디치 경기에서 맡은 포지션은 무엇인가요?	해리포터는 첫 퀴디치 경기에서 수색꾼 포지션을 맡았습니다.	Y	user88
89	마법사들이 사용하는 마법 약초학 교수는 누구인가요?	마법 약초학 교수는 스프라우트 교수입니다.	Y	user89
90	바티칸 시국은 어떤 나라에 둘러싸여 있나요?	바티칸 시국은 이탈리아에 둘러싸여 있습니다.	Y	user90
91	바티칸 시국의 공식 언어는 무엇인가요?	바티칸 시국의 공식 언어는 라틴어입니다.	Y	user91
92	바티칸 시국의 지도자는 누구인가요?	바티칸 시국의 지도자는 교황입니다.	Y	user92
93	바티칸 시국의 주요 건축물로 유명한 성당은 무엇인가요?	바티칸 시국의 주요 성당은 성 베드로 대성당입니다.	Y	user93
94	바티칸 시국의 인구는 얼마인가요?	바티칸 시국의 인구는 약 800명입니다.	Y	user94
95	태평양의 면적은 얼마인가요?	태평양의 면적은 약 168,723,000 평방 킬로미터입니다.	Y	user95
96	태평양은 어떤 대륙들 사이에 위치해 있나요?	태평양은 아시아, 오세아니아, 북아메리카, 남아메리카 사이에 위치해 있습니다.	Y	user96
97	태평양의 이름은 어떻게 유래되었나요?	태평양의 이름은 탐험가 페르디난드 마젤란이 바다의 잔잔한 상태를 보고 '평화로운 바다'라는 의미의 'Pacific Ocean'이라고 명명한 데서 유래했습니다.	Y	user97
98	고흐는 어느 나라 출신인가요?	빈센트 반 고흐는 네덜란드 출신입니다.	Y	user98
99	고흐의 가장 유명한 작품 중 하나는 무엇인가요?	고흐의 가장 유명한 작품 중 하나는 "별이 빛나는 밤"입니다.	Y	user99
100	고흐는 주로 어떤 예술 양식을 사용했나요?	고흐는 주로 후기 인상파 예술 양식을 사용했습니다.	Y	user100
